IMDB id,Title,Year,Rating,Genre,Top_cast
tt0109117,Andaz Apna Apna,1994,8.0,"Action, Comedy, Romance","['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor', 'Paresh Rawal']"
tt2283748,OMG: Oh My God!,2012,8.1,"Comedy, Drama, Fantasy","['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty', 'Mahesh Manjrekar', 'Govind Namdeo']"
tt0420332,Veer-Zaara,2004,7.8,"Drama, Family, Musical","['Shah Rukh Khan', 'Preity G Zinta', 'Rani Mukerji', 'Kirron Kher', 'Divya Dutta']"
tt2112124,Chennai Express,2013,6.1,"Action, Comedy, Drama","['Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj', 'Nikitin Dheer', 'Mukesh Tiwari']"
tt0172684,Kuch Kuch Hota Hai,1998,7.5,"Comedy, Drama, Musical","['Shah Rukh Khan', 'Kajol', 'Rani Mukerji', 'Sana Saeed', 'Reema Lagoo']"
tt2350496,The Lunchbox,2013,7.8,"Drama, Romance","['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey', 'Nakul Vaid']"
tt1093370,Jab We Met,2007,7.9,"Comedy, Drama, Romance","['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa', 'Pawan Malhotra']"
tt6452574,Sanju,2018,7.6,"Biography, Comedy, Drama","['Ranbir Kapoor', 'Paresh Rawal', 'Manisha Koirala', 'Vicky Kaushal', 'Dia Mirza']"
tt0248126,Kabhi Khushi Kabhie Gham...,2001,7.4,"Drama, Musical, Romance","['Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan', 'Jaya Bachchan']"
tt1833673,Dhoom 3,2013,5.4,"Action, Crime, Drama","['Aamir Khan', 'Katrina Kaif', 'Abhishek Bachchan', 'Uday Chopra', 'Jackie Shroff']"
tt1182937,Rab Ne Bana Di Jodi,2008,7.2,"Comedy, Drama, Music","['Shah Rukh Khan', 'Anushka Sharma', 'Vinay Pathak', 'M.K. Raina', 'Manmeet Singh Sawhney']"
tt3495026,Fan,2016,6.9,"Action, Drama, Thriller","['Shah Rukh Khan', 'Shriya Pilgaonkar', 'Sayani Gupta', ""Waluscha D'Souza"", 'Deepika Amin']"
tt1639426,Udaan,2010,8.1,Drama,"['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh', 'Ram Kapoor', 'Raja Hudda']"
tt0456144,"Carry On, Munna Bhai",2006,8.0,"Comedy, Drama, Romance","['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan', 'Boman Irani', 'Dilip Prabhavalkar']"
tt2199711,Vishwaroopam,2013,7.9,"Action, Thriller","['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose', 'Shekhar Kapur']"
tt3405236,Raees,2017,6.6,"Action, Crime, Drama","['Shah Rukh Khan', 'Jaideep Ahlawat', 'Sunny Leone', 'Nawazuddin Siddiqui', 'Mahira Khan']"
tt1787988,Talaash: The Answer Lies Within,2012,7.2,"Crime, Drama, Mystery","['Aamir Khan', 'Kareena Kapoor', 'Rani Mukerji', 'Nawazuddin Siddiqui', 'Rajkummar Rao']"
tt2317337,Vicky Donor,2012,7.8,"Comedy, Romance","['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia', 'John Abraham']"
tt1562871,Ra.One,2011,4.8,"Action, Adventure, Sci-Fi","['Shah Rukh Khan', 'Arjun Rampal', 'Kareena Kapoor', 'Shahana Goswami', 'Atul Sharma']"
tt1024943,Om Shanti Om,2007,6.7,"Action, Comedy, Drama","['Shah Rukh Khan', 'Deepika Padukone', 'Arjun Rampal', 'Kirron Kher', 'Shreyas Talpade']"
tt1839596,Rockstar,2011,7.7,"Drama, Music, Romance","['Ranbir Kapoor', 'Nargis Fakhri', 'Shammi Kapoor', 'Kumud Mishra', 'Piyush Mishra']"
tt0238936,Devdas,2002,7.5,"Drama, Musical, Romance","['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Madhuri Dixit', 'Jackie Shroff', 'Kirron Kher']"
tt8291224,Uri: The Surgical Strike,2019,8.2,"Action, Drama, History","['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam', 'Kirti Kulhari']"
tt2178470,Yeh Jawaani Hai Deewani,2013,7.2,"Comedy, Drama, Musical","['Ranbir Kapoor', 'Deepika Padukone', 'Aditya Roy Kapoor', 'Kalki Koechlin', 'Kunaal Roy Kapur']"
tt4832640,Sultan,2016,7.0,"Action, Drama, Romance","['Salman Khan', 'Anushka Sharma', 'Randeep Hooda', 'Amit Sadh', 'Kumud Mishra']"
tt5571734,Pink,2016,8.1,"Crime, Drama, Thriller","['Amitabh Bachchan', 'Taapsee Pannu', 'Kirti Kulhari', 'Andrea Tariang', 'Piyush Mishra']"
tt5946128,Dear Zindagi,2016,7.4,"Drama, Romance","['Alia Bhatt', 'Shah Rukh Khan', 'Kunal Kapoor', 'Priyanka Moodley', 'Prateek Jain']"
tt0461936,Don,2006,7.1,"Action, Crime, Thriller","['Shah Rukh Khan', 'Priyanka Chopra Jonas', 'Arjun Rampal', 'Isha Koppikar', 'Boman Irani']"
tt2461132,Happy New Year,2014,4.9,"Action, Comedy, Crime","['Shah Rukh Khan', 'Deepika Padukone', 'Abhishek Bachchan', 'Boman Irani', 'Sonu Sood']"
